"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
1,5,0,11,12,0
1,7,0,6,4,0
1,3,0,0,1,0
0,0,0,0,1,0
1,1,0,1,3,0
0,0,0,0,8,0
6,5,4,0,5,2
13,24,14,0,0,2
20,30,17,3,1,6
16,21,15,12,6,8
7,23,3,17,8,19
9,23,13,17,3,18
9,21,8,12,8,17
11,19,12,11,10,15
9,18,18,14,12,16
11,11,14,17,15,19
7,25,13,18,8,17
7,19,12,16,6,16
3,18,6,18,2,24
10,19,4,14,10,17
9,13,11,11,8,19
8,17,1,11,8,15
3,6,2,14,8,20
1,3,1,21,15,6
0,4,0,15,16,0
0,8,0,5,4,0
0,5,0,2,3,0
0,1,0,0,0,0
0,2,0,0,4,0
0,0,0,0,5,0
7,5,4,1,5,1
14,28,12,0,2,1
21,30,16,3,0,5
15,25,13,13,0,11
5,21,8,16,8,19
10,24,13,16,6,16
6,25,8,16,4,20
14,22,12,15,5,17
10,19,12,12,10,17
11,17,10,13,12,21
6,18,14,19,12,18
14,11,12,11,17,18
10,17,10,16,13,19
6,23,11,16,10,13
13,16,13,12,12,17
8,20,3,14,10,12
4,5,7,14,16,16
1,2,4,15,18,6
1,4,0,21,19,0
2,6,0,3,6,0
1,1,0,4,2,0
0,1,0,0,1,0
0,1,0,2,5,0
0,1,0,2,4,0
7,11,4,1,6,1
19,26,16,2,0,2
23,30,19,4,0,8
14,25,17,14,3,11
10,16,5,12,14,17
7,27,12,16,6,21
9,20,16,15,9,16
14,16,10,14,10,14
4,27,13,15,5,21
12,14,8,13,14,22
6,22,16,19,10,20
13,23,15,13,8,14
6,16,8,14,11,17
5,26,7,20,8,18
13,17,13,14,11,17
10,20,2,15,9,19
10,11,4,18,17,20
0,3,4,19,19,7
1,1,3,22,23,0
0,7,0,0,11,0
0,3,0,0,1,0
0,2,0,0,1,0
0,1,0,0,4,0
0,1,0,0,6,0
7,8,3,0,5,0
14,32,14,1,0,2
21,32,17,2,1,5
17,25,14,14,4,14
7,15,5,16,14,19
9,21,17,15,7,19
6,23,10,17,8,18
14,21,8,13,5,20
7,26,15,16,7,21
14,16,9,14,10,19
6,20,12,20,9,24
13,25,17,14,5,17
7,23,8,20,8,21
8,23,11,17,8,15
12,20,13,19,9,19
10,17,2,12,10,18
6,10,4,20,17,22
3,3,9,20,24,11
2,1,2,21,25,0
0,8,0,0,10,0
0,6,0,0,3,0
0,0,0,0,2,0
0,2,0,0,3,0
0,0,0,0,4,0
8,8,6,0,8,0
20,31,14,3,0,1
26,31,16,3,0,7
14,24,20,14,4,11
10,12,5,22,14,19
8,28,16,19,5,17
13,18,14,18,10,18
12,17,14,12,12,16
10,24,15,14,11,18
9,11,13,19,17,17
9,23,17,20,8,19
13,23,17,13,9,18
12,18,11,19,11,19
7,23,7,17,12,16
12,23,14,15,9,18
9,15,6,18,11,19
8,14,6,19,13,19
3,4,1,19,20,9
0,3,0,23,26,0
3,9,0,4,10,0
2,4,0,4,4,0
1,0,0,1,3,0
0,0,0,1,3,0
0,1,0,2,6,0
7,8,6,0,6,0
19,32,11,2,0,2
20,32,24,4,0,5
16,21,16,11,5,16
8,11,9,18,17,18
8,22,12,17,9,23
11,32,14,16,5,20
12,21,12,12,9,19
8,20,16,14,11,19
13,18,12,12,10,18
5,23,16,18,9,20
11,19,15,17,14,16
10,16,12,19,14,20
10,24,10,18,9,17
17,24,15,16,7,17
